,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,75,EC,1551049200,74,-0.74,-90.35,84.2,10.29
1,belmonte,0,PT,1551052961,80,40.36,-7.35,37.03,2.39
2,mataura,0,NZ,1551052006,57,-46.19,168.86,58.36,7.2
3,kaitangata,0,NZ,1551052962,67,-46.28,169.85,56.38,10.45
4,bouna,0,CI,1551052962,43,9.27,-3.0,69.07,3.62
5,kapaa,40,US,1551048960,61,22.08,-159.32,80.6,16.11
6,mehamn,75,NO,1551048600,80,71.03,27.85,39.2,25.28
7,tuatapere,0,NZ,1551052964,94,-46.13,167.69,54.89,4.63
8,jamestown,20,AU,1551051984,40,-33.21,138.6,79.64,7.65
9,port elizabeth,40,US,1551050340,93,39.31,-74.98,51.8,10.29
10,jacareacanga,48,BR,1551052965,94,-6.22,-57.76,74.38,2.39
11,hobart,0,AU,1551049200,35,-42.88,147.33,71.6,10.29
12,saskylakh,56,RU,1551052966,60,71.97,114.09,-7.44,7.09
13,port lincoln,0,AU,1551052966,71,-34.72,135.86,77.62,4.07
14,faya,40,SA,1551049200,67,18.39,42.45,62.6,4.7
15,thompson,5,CA,1551049200,51,55.74,-97.86,-13.01,11.41
16,vaini,0,IN,1551052004,75,15.34,74.49,63.67,3.51
17,butaritari,44,KI,1551051978,100,3.07,172.79,83.51,17.6
18,hithadhoo,92,MV,1551052711,100,-0.6,73.08,82.61,7.2
19,shilong,75,CN,1551051000,76,23.11,113.84,57.2,6.71
20,bredasdorp,12,ZA,1551049200,87,-34.53,20.04,60.8,1.12
21,alta floresta,20,BR,1551052970,93,-9.87,-56.08,76.54,1.95
22,arlit,32,NE,1551052971,33,18.74,7.39,57.86,9.33
23,arraial do cabo,64,BR,1551052707,86,-22.97,-42.02,80.68,6.76
24,rikitea,80,PF,1551051991,100,-23.12,-134.97,79.96,12.46
25,narsaq,88,GL,1551048600,28,60.91,-46.05,42.8,33.33
26,castro,40,CL,1551049200,54,-42.48,-73.76,55.4,9.17
27,walvis bay,24,NA,1551049200,82,-22.95,14.51,66.2,1.12
28,matagami,12,NG,1551052973,84,9.67,8.4,70.78,2.73
29,nanortalik,92,GL,1551052973,95,60.14,-45.24,33.56,10.11
30,clyde river,1,CA,1551050280,82,70.47,-68.59,-22.01,6.93
31,touros,40,BR,1551049200,83,-5.2,-35.46,80.6,2.24
32,salta,75,AR,1551051300,73,-24.79,-65.41,80.6,11.41
33,kochubey,8,RU,1551052975,100,44.39,46.54,26.81,5.97
34,albany,90,US,1551048720,93,42.65,-73.75,41.0,3.36
35,katsuura,20,JP,1551049200,80,33.93,134.5,41.0,5.82
36,tuktoyaktuk,75,CA,1551049200,78,69.44,-133.03,14.0,3.36
37,north platte,1,US,1551048780,57,41.12,-100.77,19.4,9.17
38,ushuaia,75,AR,1551049200,52,-54.81,-68.31,42.8,16.11
39,vila velha,0,BR,1551049200,83,-3.71,-38.6,78.8,1.05
40,dingle,0,PH,1551052980,78,11.0,122.67,75.41,9.1
41,severo-kurilsk,76,RU,1551052980,100,50.68,156.12,22.63,5.19
42,bluff,0,AU,1551052011,41,-23.58,149.07,83.56,12.91
43,simnas,24,LT,1551052981,87,54.38,23.65,31.49,10.78
44,hinton,0,CA,1551052981,53,53.4,-117.57,4.18,3.06
45,port alfred,48,ZA,1551052950,96,-33.59,26.89,67.49,6.76
46,cidreira,92,BR,1551052008,100,-30.17,-50.22,70.42,3.06
47,ribeira grande,12,PT,1551052809,100,38.52,-28.7,57.73,22.53
48,yerbogachen,80,RU,1551052879,87,61.28,108.01,12.5,7.31
49,baghdad,0,IQ,1551049200,76,33.3,44.38,50.0,8.05
50,zverinogolovskoye,88,RU,1551053003,83,54.46,64.85,12.68,8.99
51,lebu,20,ET,1551049200,67,8.96,38.73,59.0,9.17
52,maxixe,88,MZ,1551053004,92,-23.86,35.35,78.65,6.64
53,kavaratti,8,IN,1551052811,100,10.57,72.64,81.13,3.96
54,longyearbyen,75,NO,1551052200,64,78.22,15.63,1.4,17.22
55,alofi,88,NU,1551049200,78,-19.06,-169.92,82.4,13.87
56,sal rei,0,CV,1551049200,77,16.18,-22.92,69.8,12.75
57,hermanus,0,ZA,1551053005,97,-34.42,19.24,56.33,2.73
58,tabuk,8,PH,1551053006,77,17.41,121.44,66.28,1.28
59,kiruna,56,SE,1551052200,74,67.86,20.23,35.6,19.46
60,florence,1,US,1551051300,31,34.8,-87.68,53.6,5.82
